,WB_No,Year,Month,District,Ward,Village,subvillage,site.name,water.body._type,water.body.name,CorrectedWBName,Longitude..E.,Attitude..m.,water_level,season,snail_present,number_snails_collected,snail_size.1.3mm.,X.4.6mm.,X.7.9mm.,X.10.12mm.,X.13.15mm.,X.16.18mm.,X.19.21mm.,X..21mm.,infe_snail,Date.of.1st.Sheding.att., ,Date,Exp_schisto,X.1.3mm.,X.4.6mm..1,X.7.9mm..1,X.10.12mm..1,X.13.15mm..1,X.16.18mm..1,X.19.21mm..1,X..21mm..1,Total..VE
18,18,2020,December,Misungwi,Shilalo,Ikungumhulu,Nhundulu,Kwa shimbi george,Dam,Lambo la shimbi george,Lambo la Shimbi George,033 ͦ05.205',1213,Normal,Rainy,Bulinus,6,0,0,0,0,6,0,0,0,0,9-Dec-20,11/12/20,8-Dec-20,,0,0,0,0,0,0,0,0,0
19,19,2020,December,Misungwi,Shilalo,Ikungumhulu,Nhundulu,Kwa renard ngeleja,pond,Kisima cha renard ngeleja,Kisima cha Renard Ngeleji,033 ͦ05.348',1204,Normal,Rainy,Bulinus,30,0,0,0,11,15,4,0,0,0,9-Dec-20,11/12/20,8-Dec-20,,0,0,0,0,0,0,0,0,0
20,20,2020,December,Misungwi,Shilalo,Ikungumhulu,Busegeja,Kwa Ouma doto,Dam,Lambo la ouma doto,Lambo la Ouma Doto,033 ͦ05.042',1208,Normal,Rainy,Bulinus,2,0,0,1,0,0,0,0,1,0,9-Dec-20,11/12/20,8-Dec-20,,0,0,0,0,0,0,0,0,0
21,21,2020,December,Misungwi,Shilalo,Ikungumhulu,Mwanzuli,Kwa machai,pond,Lambo la machai,Lambo la Machai,033 ͦ03.519',1216,Normal,Rainy,Bulinus and Pila,299,0,0,0,0,290,9,0,0,0,9-Dec-20,11/12/20,8-Dec-20,,0,0,0,0,0,0,0,0,0
22,22,2020,December,Misungwi,Shilalo,Ikungumhulu,Mwanzuli,Kwa fugo shinyama,Dam,Lambo la fugo shinyama,Lambo la Fugo Shinyama,033 ͦ03.250',1221,Normal,Rainy,Bulinus and Forskal,26,0,0,0,0,6,20,0,0,1,9-Dec-20,10/12/20,8-Dec-20,Shistosoma haematobium,0,0,0,0,0,1,0,0,1
23,23,2020,December,Misungwi,Shilalo,Ikungumhulu,Igwata,Kwa sospeter walwa,Dam,Lambo la sospeter walwa,Lambo la Sospeter Walwa,033 ͦ04.471',1179,Normal,Rainy,Bulinus,19,0,0,7,8,4,0,0,0,0,9-Dec-20,11/12/20,8-Dec-20,,0,0,0,0,0,0,0,0,0
24,24,2020,December,Misungwi,Shilalo,Ikungumhulu,Igwata,Igwata,Dam,Lambo la kijiji igwata,Lambo la Kijiji Igwata,033 ͦ04.628',1203,Normal,Rainy,Bulinus,20,0,1,19,0,0,0,0,0,0,9-Dec-20,11/12/20,8-Dec-20,,0,0,0,0,0,0,0,0,0
25,25,2020,December,Misungwi,Shilalo,Ikungumhulu,Ikungumhulu,Kwa mashinje nkola,Dam,Lambo la mashinje nkola,Lambo la Mashinje Nkola,033 ͦ04.962',1201,Normal,Rainy,Bulinus,25,0,0,24,1,0,0,0,0,0,9-Dec-20,11/12/20,8-Dec-20,,0,0,0,0,0,0,0,0,0
26,26,2020,December,Misungwi,Shilalo,Shilalo,Matunge,Kwa nzengo matunge,pond,Kisima cha nzengo matunge,Kisima cha Nzengo Matunge,033 ͦ03.355',1205,Normal,Rainy,Bulinus,50,0,13,7,26,2,2,0,0,1,8-Dec-20,10/12/20,7-Dec-20,Schistosoma haematobium,0,0,0,0,1,0,0,0,1
27,27,2020,December,Misungwi,Shilalo,Shilalo,Matunge,Kwa nzengo matunge,pond,Lambo la nzengo matunge,Lambo la Nzengo Matunge,033 ͦ03.340',1198,Normal,Rainy,Bulinus and Pila,151,0,0,103,20,9,16,3,0,1,8-Dec-20,10/12/20,7-Dec-20,Schistosoma haematobium,0,0,0,1,0,0,0,0,1
28,28,2020,December,Misungwi,Shilalo,Shilalo,Matunge,Kwa manegese,pond,Lambo/kisima cha manegese,Lambo/Kisima cha Manegese,033 ͦ03.284',1201,Normal,Rainy,Bulinus and Forskal,64,0,0,0,30,11,23,0,0,0,8-Dec-20,10/12/20,7-Dec-20,,0,0,0,0,0,0,0,0,0
29,29,2020,December,Misungwi,Shilalo,Shilalo,Shilalo shuleni,Kwa ng'wanashinyama,pond,Kisima cha ng'wanashinyama,Kisima cha Ng'wanashinyama,033 ͦ03.465',1196,Normal,Rainy,"Bulinus, and Forskal",3,0,0,0,1,1,1,0,0,0,8-Dec-20,10/12/20,7-Dec-20,,0,0,0,0,0,0,0,0,0
30,30,2020,December,Misungwi,Shilalo,Shilalo,Kisunge,Kwa kisunge,pond,Lambo la kisunge,Lambo la Kisunge,033 ͦ04.309',1206,Normal,Rainy,Bulinus and Pila,7,0,0,0,4,3,0,0,0,0,8-Dec-20,10/12/20,7-Dec-20,,0,0,0,0,0,0,0,0,0
31,31,2020,December,Misungwi,Shilalo,Shilalo,Shilaloshanguku,Shilaloshanguku,pond,Kisima cha nzengo shilaloshanguku,Kisima cha Nzengo Shilaloshanguku,033 ͦ03.024',1203,Normal,Rainy,"Bulinus, Pila and Forskal",34,0,0,4,5,14,11,0,0,0,8-Dec-20,10/12/20,7-Dec-20,,0,0,0,0,0,0,0,0,0
32,32,2020,December,Misungwi,Shilalo,Shilalo,Shilaloshanguku,Shilaloshanguku,pond,Lambo la nzengo shilaloshanguku,Lambo la Nzengo Shilaloshanguku,033 ͦ03.149',1213,Normal,Rainy,Bulinus,28,0,0,4,9,12,3,0,0,0,8-Dec-20,10/12/20,7-Dec-20,,0,0,0,0,0,0,0,0,0
33,33,2020,December,Misungwi,Shilalo,Shilalo,Luhala,Kwa sekulo,pond,Lambo/kisima cha sekulo,Lambo/Kisima cha Sekulo,033 ͦ04.700',1200,Normal,Rainy,Bulinus and Forskal,2,0,0,0,0,2,0,0,0,0,8-Dec-20,10/12/20,7-Dec-20,,0,0,0,0,0,0,0,0,0
34,34,2020,December,Misungwi,Shilalo,Shilalo,Luhala,Kwa buzengo,pond,Kisima cha buzengo,Kisima cha Buzengo,033 ͦ04.591',1199,Normal,Rainy,Bulinus,4,0,0,4,0,0,0,0,0,0,8-Dec-20,10/12/20,7-Dec-20,,0,0,0,0,0,0,0,0,0
35,35,2020,November,Misungwi,Kolomije,Kolomije ,Kolomije A,Kolomije A,pond,Kisima cha kanisa la AIC,Kisima cha Kanisa la AIC,033 ͦ10.209',1241,Normal,Rainy,Bulinus and Forskal,182,0,18,73,61,28,2,0,0,0,28-Nov-20,1/12/20,27-Nov-20,,0,0,0,0,0,0,0,0,0
36,36,2020,November,Misungwi,Kolomije,Kolomije ,mwashesha,mwashesha,pond,kisima cha huya,Kisima cha Huya,033 ͦ09.853΄,1222,Normal,Rainy,Bulinus and pila,36,0,0,0,27,9,0,0,0,0,27-Nov-20,11/30/20,26-Nov-20,,0,0,0,0,0,0,0,0,0
37,37,2020,November,Misungwi,Kolomije,Kolomije ,mwamadui,mwamadui,Pond,kisima cha ng′wamabumbuga,kisima cha Ng'wamabumbuga,033 ͦ10.386΄,1221,Normal,Rainy,Bulinus and forskali,11,0,0,0,0,7,4,0,0,0,27-Nov-20,11/30/20,26-Nov-20,,0,0,0,0,0,0,0,0,0
38,38,2020,November,Misungwi,Kolomije,Kolomije ,mwamadui,mwamadui,Pond,Lambo la ng′wakang'wina,Lambo la Ng'wakang'wina,033 ͦ10.830΄,1202,Normal,Rainy,Bulinus,8,0,0,0,0,6,2,0,0,0,27-Nov-20,11/30/20,26-Nov-20,,0,0,0,0,0,0,0,0,0
39,39,2020,November,Misungwi,Kolomije,Kolomije ,Kolomije B,hesawa,pond,Kisima cha bustani hesawa,Kisima cha Bustani Hesawa,033 ͦ10.168',1240,Normal,Rainy,"Bulinus, Pila and Lymneae",12,0,0,0,5,6,1,0,0,0,28-Nov-20,1/12/20,27-Nov-20,,0,0,0,0,0,0,0,0,0
40,40,2020,November,Misungwi,Kolomije,Kolomije ,Ikilikili,Kwa kaselya,pond,Kisima/Lambo kwa kaselya,Kisima/Lambo kwa Kaselya,033 ͦ09.289',1278,Normal,Rainy,Bulinus,3,0,0,0,2,1,0,0,0,0,28-Nov-20,1/12/20,27-Nov-20,,0,0,0,0,0,0,0,0,0
41,41,2020,November,Misungwi,Kolomije,Kolomije ,Ikilikili,Kwa ng'wanzumbi,pond,Kisima cha ng'wanzumbi,Kisima cha Ng'wanzumbi,033 ͦ08.969',1292,Normal,Rainy,Bulinus,20,0,14,6,0,0,0,0,0,0,28-Nov-20,1/12/20,27-Nov-20,,0,0,0,0,0,0,0,0,0
42,42,2020,November,Misungwi,Kolomije,Kolomije ,Ilungu,Kwa ng'wangolo,pond,Kisima cha ng'wangolo,Kisima cha Ng'wangolo,033 ͦ10.173',1233,Normal,Rainy,"Bulinus, Pila ",60,0,0,0,1,48,11,0,0,0,27-Nov-20,30/11/2020,26-Nov-20,,0,0,0,0,0,0,0,0,0
43,43,2020,November,Misungwi,Kolomije,Kolomije ,Mwashesha,Kwa ng'wamalecha,Dam,Lambo la Ng'wamalecha,Lambo la Ng'wamalecha,033 ͦ10.032',1238,Normal,Rainy,Bulinus,24,0,0,0,7,12,5,0,0,0,27-Nov-20,30/11/2020,26-Nov-20,,0,0,0,0,0,0,0,0,0
44,44,2020,November,Misungwi,Kolomije,Kolomije ,Mwashesha,Kwa ng'washesha mchangani,pond,Kisima cha ng'washesha mchangani,Kisima cha Ng'washesha Mchangani,033 ͦ09.925',1199,Normal,Rainy,Bulinus and Forskal,1,0,0,0,0,1,0,0,0,0,27-Nov-20,30/11/2020,26-Nov-20,,0,0,0,0,0,0,0,0,0
45,45,2020,November,Misungwi,Kolomije,Ibongoya A,Kigala,Kigala,Dam temporary,Lambo la Kigala (Mkuyuni),Lambo la Kigala,033 ͦ06.888',1236,Normal,Rainy,Biophalalia,26,0,18,8,0,0,0,0,0,0,22-Nov-20,11/25/20,21-Nov-20,,0,0,0,0,0,0,0,0,0
46,46,2020,November,Misungwi,Kolomije,Ibongoya A,kigala,Kigala,pond,kisima cha kigala (mkuyuni),Kisima cha Kigala Mkuyuni,033 ͦ06.172',1219,Normal,Rainy,Biomphalaria,21,0,17,4,0,0,0,0,0,0,22-Nov-20,25/11/2020,21-Nov-20,,0,0,0,0,0,0,0,0,0
47,47,2020,November,Misungwi,Kolomije,Ibongoya A,Izunya,Kwa nkigila,pond,kisima kwa nkigila,Kisima kwa Nkigila,033 ͦ07.906',1269,Normal,Rainy,Bulinus and Biomphalalia,37,0,0,0,2,15,17,3,0,1,22-Nov-20,25/11/2020,21-Nov-20,Schistosoma haematobium,0,0,0,0,0,0,1,0,1
48,48,2020,November,Misungwi,Kolomije,Ibongoya A,Izunya,Kwa kwinenge,pond,Kisima cha kwinenge,Kisima cha Kwinenge,033 ͦ07.471',1270,Normal,Rainy,Bulinus,1,0,0,0,0,1,0,0,0,0,22-Nov-20,25/11/2020,21-Nov-20,,0,0,0,0,0,0,0,0,0
49,49,2020,November,Misungwi,Kolomije,Ibongoya A,Nkola A,Kwa mwakengela,pond,kisima cha mwakengelea,kisima cha Mwakengelea,033 ͦ08.190',1292,Normal,Rainy,Bulinus,4,0,0,4,0,0,0,0,0,0,22-Nov-20,25/11/2020,21-Nov-20,,0,0,0,0,0,0,0,0,0
50,50,2020,November,Misungwi,Kolomije,Ibongoya A,Ng'wangoye,Ng'wangoye,pond,Lambo la shimbolyo,Lambo la Shimbolyo,033 ͦ09.987',1268,Normal,Rainy,Bulinus,26,0,0,2,0,1,18,5,0,0,21-Nov-20,24/11/2020,20-Nov-20,,0,0,0,0,0,0,0,0,0
51,51,2020,November,Misungwi,Kolomije,Ibongoya A,Ng'wangoye,Ng'wangoye,pond,Lambo la ng'wangoye,Lambo la Ng'wangoye,033 ͦ10.137',1255,Normal,Rainy,Biomphalalia and Bulinus,30,0,0,0,2,22,6,0,0,0,21-Nov-20,24/11/2020,20-Nov-20,,0,0,0,0,0,0,0,0,0
52,52,2020,November,Misungwi,Kolomije,Ibongoya A,Chamhela ,Kwa jumanne seleman,River,Mtoni chamhela kwa jumanne selelman,Mtoni Chamhela kwa Jumanne Selelman,033 ͦ11.130',1212,Normal,Rainy,"Biomphalalia, Lymneae and Bulinus",1,0,0,0,1,0,0,0,0,0,21-Nov-20,24/11/2020,20-Nov-20,,0,0,0,0,0,0,0,0,0
