,WB_No,Year,Month,District,Ward,Village,subvillage,site.name,water.body._type,water.body.name,CorrectedWBName,Longitude..E.,Attitude..m.,water_level,season,snail_present,number_snails_collected,snail_size.1.3mm.,X.4.6mm.,X.7.9mm.,X.10.12mm.,X.13.15mm.,X.16.18mm.,X.19.21mm.,X..21mm.,infe_snail,Date.of.1st.Sheding.att., ,Date,Exp_schisto,X.1.3mm.,X.4.6mm..1,X.7.9mm..1,X.10.12mm..1,X.13.15mm..1,X.16.18mm..1,X.19.21mm..1,X..21mm..1,Total..VE
76,76,2020,December,Misungwi,Bulemeji,Buganda,Nyamijundu B,Nyamijundu B,"River,Permanent",Mtoni kwa mashauri,Mtoni kwa Mashauri,032 ͦ59.747΄,1168,Normal,Rainy,"Bulinus,pila,Lymneae",13,0,0,0,3,6,4,0,0,0,16-Nov-20,19/11/2020,15-Nov-20,,0,0,0,0,0,0,0,0,0
77,77,2020,December,Misungwi,Bulemeji,Buganda,Nyamijundu B,Nyamijundu B,"Pond,Temporary",kwa kajoba site 2,Kwa Kajoba Site 2,033 ͦ00.210΄,1178,Normal,Rainy,Bulinus,83,0,0,1,19,63,0,0,0,0,15-Nov-20,17/11/2020,14-Nov-20,,0,0,0,0,0,0,0,0,0
78,78,2020,December,Misungwi,Bulemeji,Buganda,Nyamijundu B,Nyamijundu B,"Pond,Temporary",kwa zebedayo,Kwa Zebedayo,035 ͦ00.263΄,1172,Normal,Rainy,"Bulinus,pila",71,0,0,33,18,20,0,0,0,0,15-Nov-20,17/11/2020,14-Nov-20,,0,0,0,0,0,0,0,0,0
79,79,2020,December,Misungwi,Bulemeji,Buganda,Nyamijundu B,Nyamijundu B,"Pond,Temporary",kwa ndeke,Kwa Ndeke,033 ͦ00.307΄,1183,Normal,Rainy,Bulinus,7,0,0,0,5,2,0,0,0,0,15-Nov-20,17/11/2020,14-Nov-20,,0,0,0,0,0,0,0,0,0
80,80,2020,December,Misungwi,Bulemeji,Buganda,Nyamijundu B,Nyamijundu B,"Pond,Temporary",kwa nghandikija,Kwa Nghandikija,033 ͦ00.180΄,1172,Normal,Rainy,"Bulinus,pila",38,0,13,0,19,0,6,0,0,0,15-Nov-20,17/11/2020,14-Nov-20,,0,0,0,0,0,0,0,0,0
81,81,2020,December,Misungwi,Bulemeji,Buganda,Nyamijundu B,Nyamijundu B,"Pond,Temporary",kwa kajoba site 1,Kwa Kajoba Site 1,033 ͦ00.236΄,1176,Normal,Rainy,"Bulinus,pila",30,0,0,2,11,17,0,0,0,0,15-Nov-20,17/11/2020,14-Nov-20,,0,0,0,0,0,0,0,0,0
82,82,2020,December,Misungwi,Bulemeji,Buganda,Nyangugano,Nyangugano,"Pond,Temporary",kwa bangaya,Kwa Bangaya,033 ͦ00.636΄,1186,Normal,Rainy,"Bulinus,ceratophallus",14,0,0,4,10,0,0,0,0,0,15-Nov-20,17/11/2020,14-Nov-20,,0,0,0,0,0,0,0,0,0
83,83,2020,December,Misungwi,Bulemeji,Buganda,Nyangugano,Nyangugano,"Pond,Temporary",kwa nelson nundi site 2,Kwa Nelson Nundi site 2,033 ͦ00.712΄,1184,Normal,Rainy,Bulinus,115,0,0,9,91,15,0,0,0,0,15-Nov-20,17/11/2020,14-Nov-20,,0,0,0,0,0,0,0,0,0
84,84,2020,December,Misungwi,Bulemeji,Buganda,Nyangugano,Nyangugano,"Pond,Temporary",kwa Ramadhani shigemelo,kwa Ramadhani Shigemelo,033 ͦ00.688΄,1184,Normal,Rainy,"Bulinus,pila",11,0,0,0,6,5,0,0,0,0,15-Nov-20,17/11/2020,14-Nov-20,,0,0,0,0,0,0,0,0,0
85,85,2020,December,Misungwi,Bulemeji,Buganda,Nyangugano,Nyangugano,"Pond,Temporary",kwa nelson nundi site 1,Kwa Nelson Nundi site 1,033 ͦ00.750΄,1179,Normal,Rainy,"Bulinus,pila",7,0,0,2,4,1,0,0,0,0,15-Nov-20,17/11/2020,14-Nov-20,,0,0,0,0,0,0,0,0,0
86,86,2020,December,Misungwi,Bulemeji,Buganda,Nyangugano,Nyangugano,"Pond,Temporary",kwa enosi ihega,kwa Enosi Ihega,033 ͦ00.378΄,1193,Normal,Rainy,"Bulinus,pila, forskali",2,0,0,1,1,0,0,0,0,0,15-Nov-20,17/11/2020,14-Nov-20,,0,0,0,0,0,0,0,0,0
87,87,2020,December,Misungwi,Bulemeji,Buganda,Nyangugano,Nyangugano,"Dam,permanent",lambo la kwa nundi,Lambo la kwa Nundu,033 ͦ00.583΄,1187,Normal,Rainy,"Bulinus,pila",5,0,0,1,2,2,0,0,0,0,15-Nov-20,17/11/2020,14-Nov-20,,0,0,0,0,0,0,0,0,0
88,88,2020,December,Misungwi,Bulemeji,Buganda,Nyangugano,Nyangugano,"Pond,Temporary",Kwa lugwisha mazaga,Kwa lugwisha Mazaga,033 ͦ00.280΄,1204,Normal,Rainy,Bulinus,87,0,0,63,16,0,8,0,0,0,15-Nov-20,17/11/2020,14-Nov-20,,0,0,0,0,0,0,0,0,0
89,89,2020,December,Misungwi,Bulemeji,Buganda,Nyangugano,Nyangugano,"Pond,Temporary",kwa sostenes emannuel,kwa Sostenes Emannuel,033 ͦ00.502΄,1187,Normal,Rainy,"Bulinus,pila",3,0,0,0,2,1,0,0,0,0,15-Nov-20,17/11/2020,14-Nov-20,,0,0,0,0,0,0,0,0,0
90,90,2020,December,Misungwi,Bulemeji,Buganda,Nyangugano,Nyangugano,"Pond,Temporary",kwa simon james,Kwa Simon James,033 ͦ00.635΄,1183,Normal,Rainy,"Bulinus,ceratophallus",37,0,0,8,26,3,0,0,0,0,15-Nov-20,17/11/2020,14-Nov-20,,0,0,0,0,0,0,0,0,0
91,91,2020,December,Misungwi,Bulemeji,Buganda,Nyangugano,Nyangugano,"Pond,Temporary",lambo la mwelela,Lambo la Mwelela,032 ͦ59.461΄,1202,Normal,Rainy,Bulinus,23,0,0,0,6,17,0,0,0,0,17-Nov-20,19/11/2020,16-Nov-20,,0,0,0,0,0,0,0,0,0
92,92,2020,December,Misungwi,Bulemeji,Buganda,Mwelela,Mwelela,"Pond,permanent",kisima cha mwelela,kisima cha Mwelela,033 ͦ59.495΄,1201,Normal,Rainy,"Bulinus,pila",51,0,0,0,5,34,12,0,0,0,17-Nov-20,19/11/2020,16-Nov-20,,0,0,0,0,0,0,0,0,0
93,93,2020,December,Misungwi,Bulemeji,Buganda,Mwelela,Mwelela,"Pond,Temporary",kwa felician,Kwa Felician,033 ͦ59.434΄,1194,Normal,Rainy,Bulinus,18,0,0,0,1,6,8,3,0,0,17-Nov-20,19/11/2020,16-Nov-20,,0,0,0,0,0,0,0,0,0
94,94,2020,December,Misungwi,Bulemeji,Buganda,Isadukilo,Isadukilo,"Pond,Temporary",kisima cha isadukilo,Kisima cha Isadukilo,033 ͦ59.962΄,1204,Normal,Rainy,Bulinus,2,0,0,0,1,1,0,0,0,0,17-Nov-20,19/11/2020,16-Nov-20,,0,0,0,0,0,0,0,0,0
95,95,2020,November,Misungwi,Bulemeji,Buganda,Buganda,kwa mwandimanya,pond,kisima cha  mwandimanya,Kisima cha Mwandimanya,033 ͦ00.011',1196,Normal,Rainy,Bulinus,32,0,0,0,1,16,15,0,0,0,17-Nov-20,19/11/2020,16-Nov-20,,0,0,0,0,0,0,0,0,0
96,96,2020,November,Misungwi,Bulemeji,Buganda,Nyamijundu A,lambo la igogo,Dam,Lambo la igogo,Lambo la Igogo,033 ͦ00.017',1177,Normal,Rainy,Bulinus,30,0,0,18,12,0,0,0,0,0,15-Nov-20,17/11/2020,14-Nov-20,,0,0,0,0,0,0,0,0,0
97,97,2020,November,Misungwi,Bulemeji,Buganda,Nyamijundu A,kwa nhwabuye,pond,Kisima cha nhwabuye,Kisima cha Ng'wabuye,033 ͦ00.759',1180,Normal,Rainy,Bulinus and pila,19,0,0,5,4,9,1,0,0,0,15-Nov-20,17/11/2020,14-Nov-20,,0,0,0,0,0,0,0,0,0
98,98,2020,November,Misungwi,Bulemeji,Buganda,Nyamijundu A,Kwa goru,pond,Kisima cha kwa goru,Kisima cha kwa Goru,033 ͦ00.036',1181,Normal,Rainy,Bulinus and pila,3,0,0,0,2,0,1,0,0,0,15-Nov-20,17/11/2020,14-Nov-20,,0,0,0,0,0,0,0,0,0
99,99,2020,November,Misungwi,Bulemeji,Buganda,Nyamijundu A,Kwa elias,pond,kisima cha kwa elias,Kisima cha kwa Elias,032ͦ 59.879',1184,Normal,Rainy,Bulinus,1,0,0,0,0,1,0,0,0,0,15-Nov-20,17/11/2020,14-Nov-20,,0,0,0,0,0,0,0,0,0
100,100,2020,November,Misungwi,Bulemeji,Buganda,Nyamijundo B,Kwa makongoro,pond,Kisima cha kwa makongoro,Kisima cha kwa Makongoro,032 ͦ59.879',1166,Normal,Rainy,Bulinus,6,0,0,0,3,3,0,0,0,0,16-Nov-20,19/11/2020,15-Nov-20,,0,0,0,0,0,0,0,0,0
101,101,2020,November,Misungwi,Bulemeji,Buganda,Nyamijundo B,kwa maharage,River,Mton kwa maharage,Mtoni kwa Maharage,032 ͦ59.767',1162,Normal,Rainy,"Biomphalalia,Pila,Lymneae and Bulinus",40,0,0,0,2,34,4,0,0,0,16-Nov-20,19/11/2020,15-Nov-20,,0,0,0,0,0,0,0,0,0
102,102,2020,November,Misungwi,Bulemeji,Buganda,Nyamijundo B,ng'wamasele,River,Mtoni kwa ng'wamasele,Mtoni kwa Ng'wamasele,032 ͦ59.771',1158,Normal,Rainy,"Biomphalalia,Pila,Lymneae and Bulinus",41,0,0,0,6,21,14,0,0,1,16-Nov-20,19/11/2020,15-Nov-20,Schistosoma haematobium,0,0,0,0,0,1,0,0,1
103,103,2020,November,Misungwi,Bulemeji,Buganda,Nyamijundo B,kwa ng'wabunyele,pond,kisima cha ng'wabunyele,kisima cha Ng'wabunyele,032 ͦ59.902',1167,Normal,Rainy,Bulinus and pila,79,0,0,0,0,0,23,56,0,0,16-Nov-20,19/11/2020,15-Nov-20,,0,0,0,0,0,0,0,0,0
104,104,2020,November,Misungwi,Bulemeji,Buganda,Nyamijundo B,kwa giri,pond,Kisima cha kwa giri,Kisima cha kwa Giri,033 ͦ00.080',1161,Normal,Rainy,Bulinus and pila,8,0,0,0,1,5,2,0,0,0,16-Nov-20,19/11/2020,15-Nov-20,,0,0,0,0,0,0,0,0,0
105,105,2020,November,Misungwi,Mamaye,Ibongoya B ,Nyabugeni,nyabungeni,Pond,Kisima cha Nyabugeni,Kisima cha Nyabugeni,033 ͦ07.799΄,1279,Normal,Rainy,"Bulinus,",3,0,0,1,1,1,0,0,0,0,23-Nov-20,11/26/20,22-Nov-20,,0,0,0,0,0,0,0,0,0
106,106,2020,November,Misungwi,Mamaye,Ibongoya B ,Nyambuyi,nyambuyi,Pond,Kisima cha Ng′wamalinga,Kisima cha Ng'wamalinga,033 ͦ08.007΄,1264,Normal,Rainy,Bulinus and pila,19,0,0,0,6,10,0,3,0,0,23-Dec-20,12/26/20,22-Dec-20,,0,0,0,0,0,0,0,0,0
107,107,2020,November,Misungwi,Mamaye,Ibongoya B ,Nyambuyi,nyambuyi,Pond,Kisima cha Ng′wanhungo,Kisima cha Ng'wanhungo,033 ͦ08.563΄,1254,Normal,Rainy,Biomphalaria Lymneae,4,0,1,3,0,0,0,0,0,0,23-Nov-20,11/26/20,22-Nov-20,,0,0,0,0,0,0,0,0,0
108,108,2020,November,Misungwi,Mamaye,Ibongoya B ,Nyagi,nyagi,Pond,Kisima cha Nyagi,Kisima cha Nyagi,033 ͦ07.665΄,1298,Normal,Rainy,Bulinus,1,0,0,0,0,1,0,0,0,0,23-Nov-20,11/26/20,22-Nov-20,,0,0,0,0,0,0,0,0,0
109,109,2020,November,Misungwi,Mamaye,Ibongoya B ,Nyagi,nyagi,Pond,Lambo la Ng′honela,Lambo la Ng'honela,033 ͦ07.102΄,1268,Normal,Rainy,Bulinus,39,0,0,4,14,19,2,0,0,0,23-Nov-20,11/26/20,22-Nov-20,,0,0,0,0,0,0,0,0,0
110,110,2020,November,Misungwi,Mamaye,Ibongoya B ,Nyagi,nyagi,Pond,kisima cha Ng'wakaliwa,Kisima cha Ng'wakaliwa,033 ͦ07.082΄,1260,Normal,Rainy,Bulinus,35,0,0,2,4,4,18,7,0,0,23-Nov-20,11/26/20,22-Nov-20,,0,0,0,0,0,0,0,0,0
111,111,2020,December,Misungwi,Mamaye,Ibongoya B ,Ibongoya,Ibongoya,Pond,lambo/kisima ng'wamang'wesa,Lambo/Kisima Ng'wamang'wasa,033 ͦ08.377΄,1265,Normal,Rainy,"Biomphalaria,Bulinus Lymneae",5,0,0,1,2,2,0,0,0,0,23-Nov-20,11/26/20,22-Nov-20,,0,0,0,0,0,0,0,0,0
112,112,2020,December,Misungwi,Mamaye,Mwalwigi,Fuganghwe,kisima cha kwa katemi,Pond,kisima/lambo la ibogo,Kisima/Lambo la Ibogo,033.10891 ͦ,1215,Normal,Rainy,"Bulinus, others",12,0,0,5,6,1,0,0,0,0,17-Dec-20,12/19/20,16-Dec-20,,0,0,0,0,0,0,0,0,0
113,113,2020,December,Misungwi,Mamaye,Mwalwigi,Fuganghwe,kwa lukona,pond,lambo la lukona,Lambo la Lukona,033.11713 ͦ,1206,Normal,Rainy,bulinus,54,0,0,35,6,13,0,0,0,0,17-Dec-20,12/19/20,16-Dec-20,,0,0,0,0,0,0,0,0,0
114,114,2020,December,Misungwi,Mamaye,Mwalwigi,mwashimbe,lambo la kwa busalu,Pond,lambo la kwa busalu,Lambo la kwa Busalu,033.14095 ͦ,1186,Normal,Rainy,Bulinus,14,0,0,6,7,1,0,0,0,0,17-Dec-20,12/19/20,16-Dec-20,,0,0,0,0,0,0,0,0,0
115,115,2020,December,Misungwi,Mamaye,Mwalwigi,mwashimbe,lambo/kisima cha nyakasalia,Pond,lambo/kisima nyakasalika,Lambo.Kisma Nyakasalika,033.14427 ͦ,1189,Normal,Rainy,Bulinus,21,0,0,0,2,19,0,0,0,0,17-Dec-20,12/19/20,16-Dec-20,,0,0,0,0,0,0,0,0,0
116,116,2020,December,Misungwi,Mamaye,Mwalwigi,ilobelo,Mwanamchele,Pond,kisima cha mwanamchele,kisima cha Mwanamchele,033.13319 ͦ,1199,Normal,Rainy,Bulinus,114,0,0,108,2,4,0,0,0,0,17-Dec-20,12/19/20,16-Dec-20,,0,0,0,0,0,0,0,0,0
117,117,2020,December,Misungwi,Mamaye,Mwalwigi,Idedeng′hanya,kwa lumeneja,pond,Lambo la kwa lumaneja,Lambo la kwa Lumaneja,033.11857 ͦ,1128,Normal,Rainy,Bulinus,55,0,0,0,10,23,12,10,0,0,17-Dec-20,12/19/20,16-Dec-20,,0,0,0,0,0,0,0,0,0
118,118,2020,December,Misungwi,Mamaye,Mwalwigi,ilobelo,shuleni,Pond,kisima cha shule,Kisima cha Shuleni,033.12703 ͦ,1208,Normal,Rainy,Bulinus,48,0,0,3,41,4,0,0,0,0,17-Dec-20,12/19/20,16-Dec-20,,0,0,0,0,0,0,0,0,0
119,119,2020,December,Misungwi,Mamaye,Mwalwigi,ilobelo,kwa bukina,Pond,lambo la bukina,Lambo la Bukina,033.12669 ͦ,1209,Normal,Rainy,Bulinus,3,0,0,0,0,1,1,1,0,0,17-Nov-20,11/19/20,16-Nov-20,,0,0,0,0,0,0,0,0,0
120,120,2020,November,Misungwi,Igokelo,Ng'ombe,nyamatala,nyamatala,Dam,lambo la ng'wamagobeko,Lambo la Ng'wamagobeko,033 ͦ03.138΄,1186,Normal,Rainy,Bulinus,1,0,0,0,0,0,1,0,0,0,19-Nov-20,11/21/20,18-Nov-20,,0,0,0,0,0,0,0,0,0
121,121,2020,November,Misungwi,Igokelo,Ng'ombe,Ng'ombe,nyangaka,Pond, kwa lutonja,Kisima cha Lutoja,033 ͦ00.840΄,1158,Normal,Rainy,"Bulinus,pila",34,0,0,11,20,2,1,0,0,0,19-Nov-20,11/21/20,18-Nov-20,,0,0,0,0,0,0,0,0,0
122,122,2020,November,Misungwi,Igokelo,Ng'ombe,Nyangaka,nyangaka,Pond,Lambo kwa mtoni,Lambo kwa Mtoni,033 ͦ00.666΄,1159,Normal,Rainy,Bulinus,7,0,1,0,3,1,2,0,0,0,19-Nov-20,11/21/20,18-Nov-20,,0,0,0,0,0,0,0,0,0
123,123,2020,November,Misungwi,Igokelo,Ng'ombe,Nyangaka,nyangaka,Pond,Ng'wang'ili,Ng'wang'ili,033 ͦ00.756΄,1161,Normal,Rainy,Bulinus,98,0,1,22,20,8,31,16,0,0,19-Nov-20,11/21/20,18-Nov-20,,0,0,0,0,0,0,0,0,0
124,124,2020,November,Misungwi,Igokelo,Ng'ombe,Ng'ombe,lambo la n'gwanjemu,Dam,lambo la ng'wanjemu,Lambo la Ng'wanjemu,033 ͦ01.916΄,1181,Normal,Rainy,Bulinus,35,0,1,0,1,13,6,14,0,0,19-Nov-20,11/21/20,18-Nov-20,,0,0,0,0,0,0,0,0,0
125,125,2020,November,Misungwi,Igokelo,Wanzamiso,wanzamiso,kisima cha kwa isalu,Pond,kisima cha kwa isalu,Kisima cha kwa Isalu,033 ͦ03.505΄,1185,low,Rainy,Bulinus,9,0,0,0,5,4,0,0,0,0,20-Nov-20,11/23/20,19-Nov-20,,0,0,0,0,0,0,0,0,0
126,126,2020,December,Misungwi,Kolomije,Bugomba,kihanda A ,kihanda A,Dam,lambo la ng'wamashosha,Lambo la ng'wamashosha,033 ͦ12.307΄,1236,Normal,Rainy,Bulinus and lymneae,44,0,0,8,12,17,7,0,0,0,3-Dec-20,12/5/20,2-Dec-20,,0,0,0,0,0,0,0,0,0
127,127,2020,December,Misungwi,Kolomije,Bugomba,kihanda B,Kihanda B,Pond,kisima cha ng'wabhusumabhu,kisima cha Ng'wabhusumabhu,033 ͦ11.607΄,1226,Normal,Rainy,Bulinus and pila,83,0,0,7,22,36,18,0,0,0,3-Dec-20,12/5/20,2-Dec-20,,0,0,0,0,0,0,0,0,0
128,128,2020,December,Misungwi,Kolomije,Bugomba,Buchela,Buchela,Pond,kisima cha itoba,Kisima cha Itoba,033 ͦ11.754΄,1259,Normal,Rainy,Bulinus and forskali,15,0,1,0,3,11,0,0,0,0,3-Dec-20,12/5/20,2-Dec-20,,0,0,0,0,0,0,0,0,0
129,129,2020,December,Misungwi,Kolomije,Bugomba,Kihenda A,Kwa Ng'wakadilana,pond,Kisima cha ng'wakadilana,Kisima cha Ng'wakadilana,033 ͦ12.078',1225,Normal,Rainy,"Biomphalalia,Bulinus, Lymneae and Pila",6,NA,0,3,0,3,0,0,0,0,3-Dec-20,5/12/20,2-Dec-20,,0,0,0,0,0,0,0,0,0
130,130,2020,December,Misungwi,Kolomije,Bugomba,hilu,hilu,Pond,lambo la Ng'wakavela,Lambo la Ng'wakavela,033 ͦ12.189΄,1236,Normal,Rainy,Bulinus and lymneae,23,0,0,3,12,6,2,0,0,0,3-Dec-20,12/5/20,2-Dec-20,,0,0,0,0,0,0,0,0,0
131,131,2020,December,Misungwi,Kolomije,Bugomba,hilu,hilu,Pond,kisima cha ng'wanzela,Kisima cha Ng'wanzela,033 ͦ12.255΄,1236,Normal,Rainy,Bulinus and forskali,26,0,0,6,18,2,0,0,0,0,3-Dec-20,12/5/20,2-Dec-20,,0,0,0,0,0,0,0,0,0
132,132,2020,December,Misungwi,Kolomije,Bugomba,Bugomba B,Bugomba B,Pond,lambo la Goyi,Lambo la Goyi,033 ͦ11.271΄,1254,Normal,Rainy,Bulinus,11,0,0,0,1,7,2,1,0,0,3-Dec-20,12/5/20,2-Dec-20,,0,0,0,0,0,0,0,0,0
133,133,2020,December,Misungwi,Kolomije,Bugomba,Bugomba B,Bugomba B,Pond,kisima cha goyi,Kisima cha Goyi,033 ͦ11.238΄,1243,Normal,Rainy,Bulinus,52,0,2,11,16,15,8,0,0,0,3-Dec-20,12/5/20,2-Dec-20,,0,0,0,0,0,0,0,0,0
134,134,2020,December,Misungwi,Kolomije,Bugomba,Bugomba B,Bugomba B,Dam,lambo la TASAF-shindika,Lambo la TASAF-Shindika,033 ͦ11.524΄,1238,Normal,Rainy,"Bulinus,forskali",31,0,0,1,17,12,1,0,0,0,3-Dec-20,12/5/20,2-Dec-20,,0,0,0,0,0,0,0,0,0
135,135,2020,December,Misungwi,Kolomije,Bugomba,Bugomba B,bugomba B,Pond,kisima cha ng'wabhukumbi,Kisima cha Ng'wabhukumbi,033 ͦ11.444΄,1242,Normal,Rainy,Bulinus and forskali,11,0,0,1,4,5,1,0,0,0,3-Dec-20,12/5/20,2-Dec-20,,0,0,0,0,0,0,0,0,0
136,136,2020,December,Misungwi,Misungwi,Mwambola,mwambola B,mwambola B,Pond,lambo/kisima cha shigabo,Lambo/Kisima cha Shigabo,033 ͦ06.126΄,1228,Normal,Rainy,"Bulinus,pila",14,0,0,0,13,0,1,0,0,0,4-Dec-20,12/6/20,3-Dec-20,,0,0,0,0,0,0,0,0,0
137,137,2020,December,Misungwi,Misungwi,Mwambola,mwambola A,mwambola A,Pond,kisima cha ng'washipolo,Kisima cha Ng'washipolo,033 ͦ06.216΄,1226,Normal,Rainy,"Bulinus,forskali and lymneae",48,0,0,0,12,21,9,4,2,0,4-Dec-20,12/6/20,3-Dec-20,,0,0,0,0,0,0,0,0,0
138,138,2020,December,Misungwi,Misungwi,Mwambola,mwambola A,mwambola A,Pond,lambo la ng'wamahugija,Lambo la Ng'wamahugija,033 ͦ06.110΄,1231,Normal,Rainy,Bulinus and lymneae,3,0,0,0,0,3,0,0,0,0,4-Dec-20,12/6/20,3-Dec-20,,0,0,0,0,0,0,0,0,0
139,139,2020,December,Misungwi,Misungwi,Mwambola,mwambola A,mwambola A,Pond,lambo lyahanzila,Lambo la Lyahanzila,033 ͦ06.073΄,1231,Normal,Rainy,"Bulinus,forskali",75,0,0,0,49,22,4,0,0,0,4-Dec-20,12/6/20,3-Dec-20,,0,0,0,0,0,0,0,0,0
140,140,2020,December,Misungwi,Misungwi,Mwambola,ng'wankalanga,N'gwankalanga,Pond,lambo la ng'wamulya,Lambo la Ng'wamulya,033 ͦ06.270΄,1207,Normal,Rainy,Bulinus,29,0,0,0,4,25,0,0,0,0,4-Dec-20,12/6/20,3-Dec-20,,0,0,0,0,0,0,0,0,0
141,141,2020,December,Misungwi,Misungwi,Mwambola,mwambola B,Mwambola B,Dam,lambo la kwa bulu,Lambo la kwa Bulu,033 ͦ06.157΄,1235,Normal,Rainy,"Bulinus,pila",5,0,0,0,3,2,0,0,0,0,4-Dec-20,12/6/20,3-Dec-20,,0,0,0,0,0,0,0,0,0
142,142,2020,December,Misungwi,Misungwi,Mwambola,ng'wamanyilili,lambo la mayombya,Dam,lambo la mayombya,Lambo la Mayombya,033 ͦ07.512΄,1213,Normal,Rainy,Bulinus,25,0,0,0,2,23,0,0,0,0,4-Dec-20,12/6/20,3-Dec-20,,0,0,0,0,0,0,0,0,0
143,143,2020,December,Misungwi,Misungwi,Mwambola,mitindo,mitindo,Pond,lambo la ng'wawambula,Lambo la Ng'wawambula,033 ͦ06.637΄,1201,Normal,Rainy,Bulinus,83,0,0,0,37,28,11,7,0,0,4-Dec-20,12/6/20,3-Dec-20,,0,0,0,0,0,0,0,0,0
144,144,2020,December,Misungwi,Misungwi,Mwambola,itale,kisima cha manyilizu,Pond,kisima cha manyilizu,kisima cha Manyilizu,033 ͦ06.013΄,1211,Normal,Rainy,"Biomphalaria, Lymneae,bulinus,pila",3,0,0,0,2,1,0,0,0,0,4-Dec-20,12/6/20,3-Dec-20,,0,0,0,0,0,0,0,0,0
145,145,2020,December,Misungwi,Misungwi,Mwamanga,mwamanga,lambo la ilende,Pond,lambo la ilende,Lambo la Ilende,033.08796 ͦ,1149,Normal,Rainy,"Bulinus,pila",29,0,0,0,9,3,17,0,0,0,19-Dec-20,12/21/20,18-Dec-20,,0,0,0,0,0,0,0,0,0
146,146,2020,December,Misungwi,Misungwi,Mwamanga,machimbo,lambo la wanga,Pond,lambo la wanga,Lambo la Wanga,033.08930 ͦ,1148,Normal,Rainy,Bulinus,11,0,0,0,1,0,0,10,0,0,19-Dec-20,12/21/20,18-Dec-20,,0,0,0,0,0,0,0,0,0
147,147,2020,December,Misungwi,Misungwi,Mwamanga,misheni,kwa zakhem,Pond,lambo la zakhem,Lambo la Zakhem,033.09806 ͦ,1168,Normal,Rainy,Bulinus,31,0,0,0,0,10,5,16,0,0,19-Dec-20,12/21/20,18-Dec-20,,0,0,0,0,0,0,0,0,0
148,148,2020,December,Misungwi,Misungwi,Old Misungwi,mitindo B,shamba la Agness lutema,Pond,kisima cha ng'wanamarashi,Kisima cha Ng'wamarashi,033 ͦ05.724΄,1174,Normal,Rainy,Bulinus,50,0,0,9,9,12,17,3,0,0,21-Dec-20,12/23/20,20-Dec-20,,0,0,0,0,0,0,0,0,0
149,149,2020,December,Misungwi,Misungwi,Old Misungwi,mitindo A,kwa Ndege kadaso,Pond,kisima cha kwa ndege kadaso,Kisima cha kwa Ndege Kadaso,033 ͦ06.251΄,1200,Normal,Rainy,Bulinus,50,0,0,4,2,3,38,3,0,0,21-Dec-20,12/23/20,20-Dec-20,,0,0,0,0,0,0,0,0,0
150,150,2020,December,Misungwi,Misungwi,Old Misungwi,mitindo A,kwa kasanga magola,Pond,kisima cha mwameganda,Kisima cha Mwamaganda,033 ͦ06.845΄,1197,Normal,Rainy,Bulinus,27,0,0,2,15,10,0,0,0,0,21-Dec-20,12/23/20,20-Dec-20,,0,0,0,0,0,0,0,0,0
151,151,2020,December,Misungwi,Misungwi,Old Misungwi,mitindo A,shamba la bushaba kaninde,Pond,kisima cha kwa makwega,Kisima cha Makwega,033 ͦ06.284΄,1196,Normal,Rainy,"Bulinus,forskali",41,0,0,21,17,3,0,0,0,0,21-Dec-20,12/23/20,20-Dec-20,,0,0,0,0,0,0,0,0,0
152,152,2020,November,Misungwi,Mondo,Maganzo,Nyamuli,Lambo la Manyara,"Pond,permanent",Lambo la Manyara,Lambo la Manyara,033 ͦ10.711΄,1203,Flooded,Rainy,Bulinus,1,0,0,0,1,0,0,0,0,0,26-Nov-20,29/11/2020,25-Nov-20,,0,0,0,0,0,0,0,0,0
153,153,2020,November,Misungwi,Mondo,Maganzo,Mumbe,kisima cha sila,"Dam,Temporary",kisima cha sila,kisima cha Sila,033 ͦ11.377΄,1209,Normal,Rainy,Bulinus,35,0,0,1,23,9,2,0,0,0,26-Nov-20,29/11/2020,25-Nov-20,,0,0,0,0,0,0,0,0,0
154,154,2020,November,Misungwi,Mondo,Maganzo,Mumbe,Lambo la Ng'winza,"Pond,permanent",lambo la Ng'winza,Lambo la Ng'wiza,033 ͦ11.561΄,1197,Normal,Rainy,Bulinus,64,0,0,3,49,8,4,0,0,0,26-Nov-20,28/11/2020,25-Nov-20,,0,0,0,0,0,0,0,0,0
155,155,2020,November,Misungwi,Mondo,Maganzo,See,kisima cha mganga,"Dam,permanent",kisima cha mganga,Kisima cha Mganga,033 ͦ11.662΄,1185,Normal,Rainy,Bulinus,12,0,0,5,4,3,0,0,0,0,26-Nov-20,29/11/2020,25-Nov-20,,0,0,0,0,0,0,0,0,0
156,156,2020,November,Misungwi,Mondo,Maganzo,See,lambo la hangaya,"Pond,permanent",lambo la hangaya,Lambo la Hangaya,033 ͦ11.420΄,1196,Normal,Rainy,Bulinus,9,0,0,4,2,1,2,0,0,0,26-Nov-20,29/11/2020,25-Nov-20,,0,0,0,0,0,0,0,0,0
157,157,2020,November,Misungwi,Mondo,Maganzo,See,Lambo la ilinde kwa lugonda,"Pond,permanent",lambo la ilinde kwa lugonda,Lambo la Ilinde kwa Lugonda,033 ͦ11.398΄,1196,Normal,Rainy,Bulinus,80,0,0,65,6,6,3,0,0,0,26-Nov-20,29/11/2020,25-Nov-20,,0,0,0,0,0,0,0,0,0
